Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
LKA,2004-02-01,2004-02-29,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2004,2004,,29.544114,I,base year is 2015
LKA,2005-02-01,2005-02-28,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2005,2005,,34.777004,I,base year is 2015
LKA,2006-02-01,2006-02-28,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2006,2006,,38.365279,I,base year is 2015
LKA,2007-02-01,2007-02-28,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2007,2007,,45.696794,I,base year is 2015
LKA,2008-02-01,2008-02-29,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2008,2008,,58.286952,I,base year is 2015
LKA,2009-02-01,2009-02-28,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2009,2009,,63.695400,I,base year is 2015
LKA,2010-02-01,2010-02-28,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2010,2010,,69.679931,I,base year is 2015
LKA,2011-02-01,2011-02-28,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2011,2011,,75.949640,I,base year is 2015
LKA,2012-02-01,2012-02-29,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2012,2012,,78.498265,I,base year is 2015
LKA,2013-02-01,2013-02-28,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2013,2013,,88.134261,I,base year is 2015
LKA,2014-02-01,2014-02-28,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2014,2014,,90.203728,X,base year is 2015
LKA,2015-02-01,2015-02-28,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2015,2015,,100.778714,X,base year is 2015
LKA,2016-02-01,2016-02-29,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2016,2016,,100.146023,X,base year is 2015
LKA,2017-02-01,2017-02-28,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2017,2017,,110.359471,X,base year is 2015
LKA,2018-02-01,2018-02-28,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2018,2018,,114.426773,X,base year is 2015
